SetNumber,URL,Description,DateAdded,DateModified
"1029-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4129147.pdf","BUILDING INST. FOR 1029","01/01/2010 00:00:00","07/11/2002 00:00:00"
"1068-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128300.pdf","BUILDING INSTR. FOR 1068","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1069-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128301.pdf","BUILDING INSTR. FOR 1069","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1070-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128302.pdf","BUILDING INSTR. FOR 1070","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1088-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128303.pdf","BUILDING INSTR. FOR 1088","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1095-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128305.pdf","BUILDING INSTR. FOR 1095","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1096-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128306.pdf","BUILDING INSTR. FOR 1096","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1097-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128297.pdf","BUILDING INSTR. FOR 1097","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1098-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128298.pdf","BUILDING INSTR. FOR 1098","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1099-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128299.pdf","BUILDING INSTR. FOR 1099","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1127-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4129483.pdf","BUILD.INST. FOR 1127 IN","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1128-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4129484.pdf","BUILD.INST. FOR 1128 IN","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1129-2","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4129485.pdf","BUILD. INST. FOR 1129 IN","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1180-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128346.pdf","BUILD INSTRUCTION FOR 1180","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1181-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128347.pdf","BUILD INSTRUCTION FOR 1181","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1182-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128311.pdf","BUILDING INST. FOR 1182","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1183-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128312.pdf","BUILD.INST. FOR 1183","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1184-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128313.pdf","BUILD.INST. FOR 1184","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1185-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128314.pdf","BUILD.INST. FOR 1185","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1186-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128315.pdf","BUILDING INST. FOR 1186","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1187-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128316.pdf","BUILD.INST. FOR 1187","01/01/2010 00:00:00","18/01/2002 00:00:00"
"1197-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4131316.pdf","BUILD.INST. 1197 IN","01/01/2010 00:00:00","02/10/2002 00:00:00"
