set_num,source,source_url,source_label
9398-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
60085-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7317-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6399-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6775-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
76039-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7259-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
75072-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
4482-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
853-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7971-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
4785-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
42026-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6285-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8778-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8114-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
3409-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8780-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7592-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
42023-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8017-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
42027-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8002-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7248-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7902-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8847-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
10194-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
75090-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6484-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
75882-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
60003-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7944-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
60004-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
60002-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
75101-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6531-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
850-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
4432-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
360-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
394-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
852-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7970-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8016-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6211-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6335-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7153-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6081-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
70005-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
4563-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6987-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6394-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
670-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
855-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7706-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8043-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
113-2,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8649-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
41194-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
393-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7942-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
4588-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6923-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
30461-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6386-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
4441-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
354-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
6362-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7245-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8858-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7313-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
4546-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
